gene_id,chrom_pos_bp,k_on_rnap,k_off_rnap,Gamma_esc,gamma_deg
gene_1,2343.503578896945,0.03182820164073399,0.0009486494471372439,0.6638233510102347,0.3932169630660731
gene_2,8105.945545259226,0.25070262173496133,2.7559113243068367e-05,1.7068012770139789,0.3999858567696779
gene_3,10873.412716716659,0.019382918807301534,0.00045349788948065154,0.6345138303483374,0.26193158245047793
gene_4,15008.715285688231,0.197038194886327,0.00028040875798603993,2.946064159443468,0.33469312946804397
gene_5,22398.898472682737,0.021245640614258883,0.00027689120404537085,1.4563918491633923,0.30544109479330567
gene_6,25359.132394816195,0.2226006602106081,0.000776683114342298,2.7684335734145273,0.19116417407347652
gene_7,28205.701786124268,0.05489297183975625,6.234957914987561e-05,1.2863176157969523,0.14621898640954825
gene_8,34842.022946623765,0.2021777768933066,0.0005094958815215094,2.308484581566098,0.20783971439921906
gene_9,37804.35309168864,0.023413138131409467,0.0007870969415548011,1.2134280336450685,0.5204669906245356
gene_10,42564.0720478905,0.2753074192833161,0.0008612834961776684,1.5213472142046125,0.19504870212652894
gene_11,47468.49807009848,0.26711384330005483,0.000719909383508693,0.9892579166207179,0.3820450982545585
gene_12,51852.00285515974,0.020536738129482424,0.0009636708728449709,0.749207962889038,0.4873111113969194
gene_13,58952.55437288192,0.23469197743058778,2.44906774933632e-05,2.7734481349747027,0.4855415684311612
gene_14,63302.71721276874,0.0637961899227378,0.0002455522672431776,0.35692837678089023,0.26672786697065376
gene_15,67919.09139156522,0.17502939929932837,0.0001645072664741013,1.0868668663595,0.4682608437179982
gene_16,72004.1202898221,0.1524989425500203,5.824595107980946e-06,1.3793286798410747,0.37894300224763416
gene_17,74449.79015108295,0.05577062077478761,0.0007252939380762389,0.675278785727239,0.3388789765476906
gene_18,81851.73946076329,0.0480568502767919,0.000341794723940113,0.33463048341639245,0.4657828836823018
gene_19,86925.79957963654,0.15156062379934732,7.319007239096598e-05,2.3367598911233487,0.3152912748771903
gene_20,90428.24834011374,0.23299684927239214,0.00042092139461746294,1.4766010965224967,0.33563282581241005
gene_21,94618.38744271795,0.0413877416541139,0.000365007263508559,0.5831643760505095,0.15552398611458013
gene_22,97463.82356354465,0.16260957176398755,0.0003141338956023022,1.8147592055082655,0.44747803701046773
gene_23,105235.8191102807,0.051789141136662956,0.00075926850053958,1.3806537728978234,0.38301892877717303
gene_24,108797.83897204525,0.024898169673823405,0.0004884492270855238,0.2424096314428415,0.19003530611035058
gene_25,112722.31891490809,0.04679406662135779,0.0007687717599091665,0.2661196338875332,0.2700789946647215
gene_26,119011.08129784543,0.12489206650309596,0.0008469983706337296,2.2540532910063695,0.24812323018727198
gene_27,120751.19505264092,0.17801491038797235,0.0008412279926923869,2.9291398760704097,0.7520427100569613
gene_28,126960.96226264759,0.03768894947367001,0.00030896819907559115,1.4143545721097575,0.29613378521275213
gene_29,130000.42777866677,0.05490595126539224,0.00035978692649261024,0.6024232319749769,0.3700827859723699
gene_30,135263.8939921149,0.07801188894128216,0.0004935715599433962,0.46392458173908874,0.36362603376798625
gene_31,141213.44208940194,0.1033654569360426,0.0009050025708181295,1.0498249944786298,0.6440690842345425
gene_32,146736.4152469521,0.26120714150542473,0.0006056831486557043,1.964889715241739,0.5176360041924732
gene_33,148994.72443397288,0.03602981989090742,0.0004468129517344519,0.7417573081741567,0.2649675094068616
gene_34,152729.64412630553,0.2583312411180681,0.00038776911565595394,1.8943824499770403,0.5805419071111927
gene_35,160029.46140001615,0.0647932327548318,0.0002876156021959957,0.4143379883480686,0.1957341711459648
gene_36,161736.776891477,0.04704559653412521,0.0007738942975498113,0.9367906090391411,0.20531661164854587
gene_37,166184.72348190076,0.13171100679734254,0.0005705645979524982,2.865681952433317,0.3118157950257285
gene_38,171228.02136777446,0.029341910986660693,0.0007173717261062347,0.24449426392658574,0.2878938629061612
gene_39,175429.2328248675,0.19020777723427823,0.0005369720795717927,2.8804242283099044,0.17713224401035824
gene_40,183371.27691966924,0.07571262799359192,0.0008450230915683464,0.082795706886154,0.27289459311238884
gene_41,184894.62723591516,0.15207284446962172,0.0005995244730532771,0.9401512415705113,0.23476689603711268
gene_42,190121.04699822413,0.22130161812825247,0.0006506724295996502,0.2953276303777712,0.8248966027252479
gene_43,195240.42805227108,0.011388390182895582,0.00038565784465755085,0.16869409576200098,0.2812766698064748
gene_44,199056.54917439652,0.16333168843480267,0.000884521531618113,0.2600988535761359,0.2157886417532675
gene_45,205900.50191611788,0.2506730836256717,0.000963181716739735,1.145991767781914,0.13823824286974581
gene_46,207946.41813715865,0.183750603462808,0.0008744412014424732,0.4297260168437417,0.5224414315052149
gene_47,215470.6431446796,0.0426153268814985,0.00011317416004642233,0.18352900024921845,1.0
gene_48,218984.84806730616,0.0650756332657649,0.0008074227810412945,1.3771969894921972,0.45605192806224204
gene_49,223726.7284599976,0.014589420669289395,2.3888813978811707e-05,1.4484689432325182,0.4150243828737816
gene_50,228236.25462525946,0.014577927575316675,0.000755221576661414,0.2909974901098082,0.5499614050643931
gene_51,231479.85067232893,0.039712450924245433,0.0004989864523070148,0.8847724824916929,0.4655254201980788
gene_52,238617.31761502725,0.17711745144601151,5.5871965031871194e-05,1.7693900421987174,0.26204148960986484
gene_53,241942.77964481016,0.2297701508023898,0.0009470061687356902,1.8379054955544247,0.3919361638193397
gene_54,244500.29925471303,0.2967499858546575,0.00013782277584863302,0.20769201328745962,0.2775523269203246
gene_55,250206.3041873843,0.11368192710834446,4.6533202074859114e-05,0.42383901570273286,0.32010354276936454
gene_56,254460.16928319458,0.02982197395986265,0.0002671915845012608,1.2454991087303087,0.21044944192649004
gene_57,260805.09003904887,0.13556515671342118,0.0008312511086352812,1.9554543960031499,0.42239579458509346
gene_58,263384.01652830216,0.19580670307963746,0.0005222200279508084,1.7151949492517842,0.1065606292759291
gene_59,268044.44600924564,0.04606087125127128,0.0009126832897191103,0.4903418767696479,0.3688941948846114
gene_60,272501.73276123055,0.19969191652458998,0.0006230937907219327,0.30348715440195095,0.33241798980509324
gene_61,279525.7887492154,0.28479662505751235,0.0008127496434167762,2.0603229152242917,0.5043251755086193
gene_62,281651.0949735077,0.1762275064808087,0.0006323329864819148,2.091898646313531,0.23070686322639058
gene_63,286410.3791587601,0.12450513015380005,0.00042765105121444905,2.904318738135012,0.41903192932914834
gene_64,292803.9670798622,0.06687129703869898,0.0009448959101690874,1.4702840561024346,0.16928908928345177
gene_65,295586.4108487945,0.15004394673359203,0.000613894995603037,0.4813224113019217,0.3534070910928209
gene_66,301213.9490395304,0.038419214050422874,0.0009874393427162873,0.4847325365348289,0.31759937561811336
gene_67,307055.1439963662,0.28943115784884765,0.0002864910244716065,2.8928628948477817,0.31523554747729443
gene_68,311038.1517781742,0.16441693748278718,0.0002167694819361088,1.7168618071677433,0.21623780008627191
gene_69,314736.21051308553,0.22275571178988354,0.00017020617447974907,0.30791589055477875,0.14983743784020603
gene_70,318197.51023265277,0.27360761912583975,0.0007264246392278,0.3385545969828063,0.10659255717347339
gene_71,324967.69350576185,0.16166379010711612,0.0007082547942479717,1.637709905158869,0.5137404145097082
gene_72,328019.4669763113,0.1552374243810407,0.00015788100282626316,1.3771365346203128,0.3011981369221113
gene_73,333399.7125609836,0.07089071755902776,0.0005624900665221174,0.33615585392630737,0.3847561711042817
gene_74,336643.0255694552,0.21472866641317695,0.0005559810381008665,0.5684619392991325,0.3025221612105732
gene_75,343495.0787004827,0.06991386060683402,0.0009174817732993082,0.3704052874590571,0.25249296486684025
gene_76,346073.026089615,0.03187619110684796,0.0007572063264186215,0.5737187526171451,0.26908407746318364
gene_77,352097.7066971614,0.06041482450619643,0.0001622873344023199,0.6219764676655188,0.33973147569342405
gene_78,355719.1423452202,0.07749579683647886,0.0007141669578683888,1.1560107815573344,0.34211920374336097
gene_79,361870.6436521875,0.053868070762489735,0.00027121364891992297,1.2141845463631722,0.2705279290918867
gene_80,367128.6850799723,0.0363484261164517,9.763379946487271e-05,0.7117685210611078,0.41415220887941423
